,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,FECHA_VIABILIDAD,MARCO,TIPO_INVERSION,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL
326,2627291,2627291,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN JR. LEONARDO ALVARIÑO (ENTRE LA AV. CHANCHAMAYO Y LA AV. EL EJERCITO)   DISTRITO DE SAN RAMON DE LA PROVINCIA DE CHANCHAMAYO DEL DEPARTAMENTO DE JUNIN,ACTIVO,VIABLE,1563713.3,1563713.3,0,0.0,0.0,22/12/2023 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
1491,2520366,2520366,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LAS VÍAS LOCALES DE  LA ASOCIACIÓN DE VIVIENDA 28 DE JULIO EN EL CENTRO POBLADO TORATA, DISTRITO TORATA, PROVINCIA MARISCAL NIETO, DEPARTAMENTO MOQUEGUA ",ACTIVO,VIABLE,1102023.98,9378634.5,0,0.0,0.0,14/07/2021 00:00,INVIERTE,PROYECTO DE INVERSION,8878716.99,97759.94
3063,2292641,333974,"CREACION DEL PUESTO DE AUXILIO RAPIDO PARA EL SERVICIO DE SERENAZGO EN EL CRUCE DE LA AV.  MARAÑON Y AV. CANTA CALLAO, DISTRITO DE LOS OLIVOS - LIMA - LIMA",ACTIVO,VIABLE,191795.26,183054.63,0,0.0,0.0,2/10/2015 00:00,SNIP,PIP MENOR (SNIP),183054.6,0.0
2084,2468986,2468986,REHABILITACIÓN DE LA LINEA DE CONDUCCIÓN DEL SISTEMA DE AGUA POTABLE DEL BARRIO LA PRIMAVERA ¿ HUARMACA ¿ HUANCABAMBA - PIURA,ACTIVO,APROBADO,328769.8,329030.0,0,0.0,0.0,23/11/2021 00:00,INVIERTE,INTERVENCIONES IRI,245847.3,0.0
1264,2421180,2421180,CREACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS EN EL ANEXO DE PAMPAHUASI PAMPAHUASI - DISTRITO DE TAMBO - PROVINCIA DE HUAYTARA - DEPARTAMENTO DE HUANCAVELICA,ACTIVO,VIABLE,349965.78,349965.78,0,0.0,0.0,18/04/2018 00:00,INVIERTE,PROYECTO DE INVERSION,208600.0,0.0
2841,2244494,293857,"MEJORAMIENTO DEL CAMINO VECINAL TRAMO CCAHUIÑA - SALLALLI EN EL CENTRO POBLADO DE QUISHUARCANCHA, DISTRITO DE CHIARA - HUAMANGA - AYACUCHO",ACTIVO,VIABLE,420000.0,419791.81,0,0.0,0.0,1/05/2014 00:00,SNIP,PIP MENOR (SNIP),379912.17,0.0
4885,2466120,2466120,"CONSTRUCCION DE AMBIENTE PARA COMEDOR Y AMBIENTE PARA COCINA EN EL(LA) I.E. MICAELA BASTIDAS, DISTRITO DE CHURUBAMBA, PROVINCIA HUANUCO, DEPARTAMENTO HUANUCO",ACTIVO,APROBADO,319750.93,319750.93,0,0.0,0.0,16/10/2019 00:00,INVIERTE,INVERSIONES IOARR,255127.22,0.0
3552,2099747,126601,"CONSTRUCCION DEL SISTEMA DE RIEGO CENTRO PICHIU-SANTA CRUZ DE PICHIU, DISTRITO DE SAN PEDRO DE CHANA - HUARI - ANCASH",ACTIVO,VIABLE,924873.46,924873.46,0,0.0,0.0,14/08/2009 00:00,SNIP,PIP MENOR (SNIP),1022541.69,0.0
4461,2691162,2691162,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRÓN 01 DE MAYO (CUADRA 1), JIRÓN 13 DE OCTUBRE (CUADRA 2), JR. AMÉRICA (CUADRA 3) Y JIRÓN SATURNINO APAZA (CUADRA 2)  DE CENTRO POBLADO ALTOS HUAYRAPATA DISTRITO DE HUAYRAPATA DE LA PROVINCIA DE MOHO DEL DEPARTAMENTO DE PUNO",ACTIVO,VIABLE,510443.55,510443.55,0,0.0,0.0,22/04/2025 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
587,2324520,361349,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE CASERIO COLPAPAMPA, DISTRITO DE BAMBAMARCA, PROVINCIA DE HUALGAYOC - CAJAMARCA",ACTIVO,VIABLE,436903.64,723321.19,0,0.0,0.0,15/12/2016 00:00,SNIP,PIP MENOR (SNIP),723320.95,0.0
4246,2596184,2596184,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN NIVEL PARCELARIO CON UN SISTEMA DE RIEGO TECNIFICADO EN LA COMUNIDAD CAMPESINA NINAMANCHI  DE CENTRO POBLADO AYAVIRI DISTRITO DE LIMATAMBO DE LA PROVINCIA DE ANTA DEL DEPARTAMENTO DE CUSCO,ACTIVO,VIABLE,3223923.92,3223923.92,0,0.0,0.0,1/06/2023 00:00,INVIERTE,PROYECTO DE INVERSION,17640.0,0.0
4496,2154473,185847,"CONSTRUCCION DE PEQUEÑO SISTEMA DE IRRIGACION EN LA COMUNIDAD DE LLANCAMA, DISTRITO DE UPAHUACHO - PARINACOCHAS - AYACUCHO",ACTIVO,VIABLE,129608.59,129608.59,0,0.0,0.0,15/08/2011 00:00,SNIP,PIP MENOR (SNIP),22879.75,0.0
3728,2037353,26088,MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA PARA EL VIVERO DE LA M.P.T. EN LA URB. SEMIRUSTICA EL BOSQUE,ACTIVO,VIABLE,87621.0,87621.0,0,0.0,0.0,4/01/2006 00:00,SNIP,PIP MAYOR (SNIP),3500.0,0.0
4488,2338438,377333,"CREACION Y MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO  BASICO Y DEL SISTEMA DE AGUA POTABLE DE LAS  LOCALIDADES, PUCAP, PAMPAHUASI, TINCO, HUARACPAMPA, DISTRITO DE CASCAPARA - YUNGAY - ANCASH",ACTIVO,VIABLE,9508817.0,6636962.93,0,0.0,0.0,17/01/2017 00:00,SNIP,PIP MAYOR (SNIP),94922.4,0.0
652,2309952,335588,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE OCOÑA Y LOS ANEXOS DE PUMACOTO, EL PUENTE Y CHULI DEL DISTRITO DE OCOÑA, PROVINCIA DE CAMANA - AREQUIPA",ACTIVO,VIABLE,19017884.0,23170624.47,0,0.0,0.0,15/10/2015 00:00,SNIP,PIP MAYOR (SNIP),19777202.79,760934.29
