investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2499210,2499210,2021,2,131590.39,0,0,0.0,192560.89,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,3,157201.8,0,0,-9428.57,93299.95,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,4,30332.68,0,0,-0.13,1055.69,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,5,76103.7,0,0,148195.04,171560.14,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,6,110554.63,0,0,25721.43,25891.43,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,7,15588.5,0,0,11088.52,11088.52,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,8,20448.06,0,0,27688.06,27688.06,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,9,15231.83,0,0,526.83,526.83,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,10,5780.0,0,0,0.0,0.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,0,0.0,588860,0,0.0,0.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2022,11,0.0,0,0,5000.0,5000.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2022,12,3155.0,0,0,3155.0,3155.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2022,0,0.0,8155,0,0.0,0.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2152952,2152952,2013,3,8000.0,0,0,8000.0,8000.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,5,2400.0,0,0,145695.0,2400.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,6,6180.0,0,0,0.0,6180.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,7,17726.82,0,0,0.0,17726.82,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,9,6875.0,0,0,0.0,6875.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,10,68494.88,0,0,100461.0,68494.88,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,11,91919.21,0,0,0.0,91919.21,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,12,45258.0,0,0,-0.69,45258.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2013,0,0.0,254156,0,0.0,0.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2014,2,5220.0,0,0,5220.0,5220.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2014,7,1500.0,0,0,1500.0,1500.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2014,0,0.0,6720,0,0.0,0.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2088996,2088996,2009,8,157000.0,0,0,0.0,157000.0,1102,REGION ANCASH-SUBREGION PACIFICO
