investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP,COD_FUENTE_FINANC,DES_FUENTE_FINANC
2296872,2296872,2017,1000.0,22066,0,5772.01,5772.01,301218,MUNICIPALIDAD DISTRITAL DE LAGUNAS,09,RECURSOS DIRECTAMENTE RECAUDADOS
2296872,2296872,2017,457933.99,457934,0,457933.99,457933.99,301218,MUNICIPALIDAD DISTRITAL DE LAGUNAS,13,DONACIONES Y TRANSFERENCIAS
2336971,2336971,2017,32000.0,32000,0,32000.0,32000.0,301854,MUNICIPALIDAD PROVINCIAL DE PUTUMAYO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2510035,2510035,2021,0.0,40200,0,40200.0,0.0,300160,MUNICIPALIDAD DISTRITAL DE PONTO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2510035,2510035,2022,1106630.03,1129477,0,1123256.09,1106630.03,300160,MUNICIPALIDAD DISTRITAL DE PONTO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2510035,2510035,2023,58607.05,58608,0,58607.05,58607.05,300160,MUNICIPALIDAD DISTRITAL DE PONTO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2511432,2511432,2021,27893.85,30007,0,30005.81,27893.85,301163,MUNICIPALIDAD DISTRITAL DE CHARAT,07,FONDO DE COMPENSACION MUNICIPAL
2511432,2511432,2021,185113.0,200069,0,200069.0,185124.46,301163,MUNICIPALIDAD DISTRITAL DE CHARAT,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2511432,2511432,2022,11536.45,17070,0,17067.96,11536.45,301163,MUNICIPALIDAD DISTRITAL DE CHARAT,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2047596,2047596,2008,224054.06,224055,0,0.0,224054.06,300553,MUNICIPALIDAD DISTRITAL DE ENCAÑADA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2047596,2047596,2009,10600.0,10600,0,0.0,10600.0,300553,MUNICIPALIDAD DISTRITAL DE ENCAÑADA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2257137,2257137,2017,227984.7,300000,0,299999.2,227984.7,301605,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,13,DONACIONES Y TRANSFERENCIAS
2257137,2257137,2017,8280.2,22946,0,22944.65,8280.2,301605,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2257137,2257137,2018,72015.2,72016,0,72015.2,72015.2,301605,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,13,DONACIONES Y TRANSFERENCIAS
2257137,2257137,2018,14479.0,14665,0,14479.0,14479.0,301605,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2699467,2699467,2026,0.0,42000,0,42000.0,0.0,300210,MUNICIPALIDAD PROVINCIAL DE POMABAMBA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2551347,2551347,2022,99086.17,111473,0,111471.88,108771.01,301132,MUNICIPALIDAD DISTRITAL DE LAREDO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2551347,2551347,2023,0.0,0,193935,0.0,0.0,301132,MUNICIPALIDAD DISTRITAL DE LAREDO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2551347,2551347,2024,40000.0,40000,0,40000.0,40000.0,301132,MUNICIPALIDAD DISTRITAL DE LAREDO,00,RECURSOS ORDINARIOS
2002459,2002459,2006,3272.5,832412,0,0.0,3272.5,186,DIRECCION EJECUTIVA DE PROYECTOS-DEP,00,RECURSOS ORDINARIOS
2002459,2002459,2006,13588.61,2679210,0,0.0,13588.61,186,DIRECCION EJECUTIVA DE PROYECTOS-DEP,09,RECURSOS DIRECTAMENTE RECAUDADOS
2002459,2002459,2007,2449940.15,2452170,2067800,0.0,2449940.15,186,DIRECCION EJECUTIVA DE PROYECTOS-DEP,00,RECURSOS ORDINARIOS
2002459,2002459,2008,189784.32,190120,0,0.0,189784.32,1280,MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,00,RECURSOS ORDINARIOS
2192019,2192019,2014,16673.0,16673,0,16673.0,16673.0,300641,MUNICIPALIDAD DISTRITAL DE TABACONAS,07,FONDO DE COMPENSACION MUNICIPAL
2192019,2192019,2014,5508.0,5508,0,5508.0,5508.0,300641,MUNICIPALIDAD DISTRITAL DE TABACONAS,09,RECURSOS DIRECTAMENTE RECAUDADOS
2192019,2192019,2014,42448.0,42448,0,42448.0,42448.0,300641,MUNICIPALIDAD DISTRITAL DE TABACONAS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2019,138310.7,151072,0,147091.7,138310.7,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,09,RECURSOS DIRECTAMENTE RECAUDADOS
2458244,2458244,2019,73803.1,73820,0,73803.1,73803.1,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2020,21101.0,21101,0,21101.0,21101.0,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2021,0.0,0,116000,0.0,0.0,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2022,0.0,1811,0,1810.92,1810.92,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2023,394099.1,474709,0,437544.3,401399.1,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2024,305201.26,323326,0,323316.8,312505.13,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2458244,2458244,2026,5540.0,197653,0,157322.6,157322.6,300272,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2537363,2537363,2022,458009.96,467668,0,467668.0,467668.0,301024,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,07,FONDO DE COMPENSACION MUNICIPAL
2537363,2537363,2022,96692.98,97341,0,97340.46,97340.46,301024,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2537363,2537363,2023,25456.0,28456,0,25456.0,25456.0,301024,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,00,RECURSOS ORDINARIOS
2537363,2537363,2023,10999.52,11000,0,10999.52,10999.52,301024,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2537363,2537363,2024,3000.33,3001,0,3000.33,3000.33,301024,MUNICIPALIDAD DISTRITAL DE SAN AGUSTIN,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2223548,2223548,2014,8500.0,4374650,0,8500.0,8500.0,300339,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2223548,2223548,2015,4954739.73,5581340,0,4954739.73,4954739.73,300339,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2223548,2223548,2016,325845.6,325847,0,325845.6,325845.6,300339,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2104302,2104302,2010,0.0,0,1300000,0.0,0.0,301587,MUNICIPALIDAD PROVINCIAL DE SECHURA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2104302,2104302,2010,88103.77,92423,0,0.0,88103.77,301592,MUNICIPALIDAD DISTRITAL DE RINCONADA LLICUAR,09,RECURSOS DIRECTAMENTE RECAUDADOS
2104302,2104302,2010,2746677.49,2771707,0,0.0,2751396.79,301592,MUNICIPALIDAD DISTRITAL DE RINCONADA LLICUAR,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2104302,2104302,2011,165137.44,165221,0,0.0,165137.44,301592,MUNICIPALIDAD DISTRITAL DE RINCONADA LLICUAR,13,DONACIONES Y TRANSFERENCIAS
2104302,2104302,2011,208627.06,208628,0,0.0,208627.06,301592,MUNICIPALIDAD DISTRITAL DE RINCONADA LLICUAR,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2104302,2104302,2011,493796.74,493798,0,0.0,493796.74,301592,MUNICIPALIDAD DISTRITAL DE RINCONADA LLICUAR,19,RECURSOS POR OPERACIONES OFICIALES DE CREDITO
2368594,2368594,2019,33550.0,33550,0,33550.0,33550.0,301433,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,07,FONDO DE COMPENSACION MUNICIPAL
2368594,2368594,2021,0.0,70000,70000,0.0,0.0,301433,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2368594,2368594,2023,0.0,0,70000,0.0,0.0,301433,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2368594,2368594,2025,0.0,0,75000,0.0,0.0,301433,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2368594,2368594,2026,0.0,500000,0,0.0,0.0,861,REGION LORETO-SEDE CENTRAL,15,FONDO DE COMPENSACION REGIONAL - FONCOR
2368594,2368594,2026,0.0,50000,50000,0.0,0.0,301433,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,07,FONDO DE COMPENSACION MUNICIPAL
2503611,2503611,2021,15000.0,15000,0,15000.0,15000.0,301251,MUNICIPALIDAD DISTRITAL DE ANCON,07,FONDO DE COMPENSACION MUNICIPAL
2503611,2503611,2024,35000.0,35000,0,35000.0,35000.0,301251,MUNICIPALIDAD DISTRITAL DE ANCON,08,IMPUESTOS MUNICIPALES
2639027,2639027,2024,83161.39,91614,0,91613.44,86356.59,301343,MUNICIPALIDAD DISTRITAL DE CHICLA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2639027,2639027,2025,0.0,6854,0,0.0,0.0,301343,MUNICIPALIDAD DISTRITAL DE CHICLA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2715358,2715358,2025,10755.0,10755,0,10755.0,10755.0,300075,MUNICIPALIDAD DISTRITAL DE SANTA ROSA,07,FONDO DE COMPENSACION MUNICIPAL
2715358,2715358,2026,11000.0,11000,0,11000.0,11000.0,300075,MUNICIPALIDAD DISTRITAL DE SANTA ROSA,07,FONDO DE COMPENSACION MUNICIPAL
2620991,2620991,2023,90336.0,91100,0,90336.0,90336.0,300784,MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
