investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2452682,2452682,ACTUALIZADO,10,2026-10,500000.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,3,2026-03,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,11,2026-11,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,1,2026-01,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,8,2026-08,500000.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,12,2026-12,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,5,2026-05,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,9,2026-09,500000.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,4,2026-04,0.0,2026-02-12 15:55:40
2520366,2520366,ACTUALIZADO,4,2026-04,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,3,2026-03,475604.3,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,5,2026-05,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,6,2026-06,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,8,2026-08,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,9,2026-09,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,11,2026-11,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,12,2026-12,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,1,2026-01,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,2,2026-02,24313.21,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,7,2026-07,0.0,2026-03-06 20:41:42
2520366,2520366,ACTUALIZADO,10,2026-10,0.0,2026-03-06 20:41:42
2596184,2596184,ACTUALIZADO,9,2026-09,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,7,2026-07,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,12,2026-12,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,10,2026-10,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,2,2026-02,17640.0,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,4,2026-04,26460.0,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,5,2026-05,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,6,2026-06,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,8,2026-08,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,11,2026-11,389760.49,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,1,2026-01,0.0,2026-03-04 17:01:22
2596184,2596184,ACTUALIZADO,3,2026-03,44100.0,2026-03-04 17:01:22
2309952,2309952,ACTUALIZADO,5,2026-05,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,9,2026-09,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,11,2026-11,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,4,2026-04,0.0,2026-01-28 21:16:03
