investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2393130,2393130,2019,8,497016.79,12200.0,12200.0
2393130,2393130,2019,9,290974.76,0.0,0.0
2393130,2393130,2019,10,431955.96,0.0,431955.96
2393130,2393130,2019,11,365010.0,176993.32,-175756.0
2393130,2393130,2019,12,1869574.29,-19750.0,-79000.0
2393130,2393130,2020,2,344857.03,0.0,1529172.0
2393130,2393130,2020,3,1317060.5,0.0,560135.95
2393130,2393130,2020,8,873087.26,873088.0,873088.0
2393130,2393130,2020,11,27279.7,516541.0,501206.4
2393130,2393130,2020,12,1252422.83,811333.0,825776.79
2393130,2393130,2021,3,208025.65,0.0,208025.65
2393130,2393130,2021,10,449209.17,8409.0,8408.06
2423812,2423812,2018,7,1500.0,196500.0,1500.0
2423812,2423812,2018,8,53976.86,0.0,54576.86
2423812,2423812,2018,9,37951.12,10000.0,47351.12
2423812,2423812,2018,10,53878.6,0.0,43878.6
2423812,2423812,2018,11,22807.72,0.0,23167.72
2423812,2423812,2018,12,1725.0,0.0,1365.0
2332327,2332327,2016,12,31000.0,31000.0,31000.0
2288190,2288190,2015,8,65055.6,65055.6,65055.6
2288190,2288190,2015,9,122592.0,122592.0,122592.0
2288190,2288190,2015,10,158297.75,158297.75,158297.75
2288190,2288190,2015,11,32845.7,32845.7,32845.7
2517100,2517100,2021,12,10554.0,0.0,0.0
2452682,2452682,2021,2,33000.0,33000.0,33000.0
2452682,2452682,2023,12,43200.0,0.0,-172800.0
2588741,2588741,2023,10,12500.0,0.0,25000.0
2588741,2588741,2023,12,83049.98,70550.0,70549.98
2588741,2588741,2024,12,25000.0,56000.0,56000.0
2588741,2588741,2025,1,17770.49,71936.99,71936.99
2588741,2588741,2025,2,135084.12,118684.61,118684.61
2588741,2588741,2025,3,43814.66,310940.5,310940.5
2588741,2588741,2025,4,214091.16,157439.63,137044.83
2588741,2588741,2025,5,172938.48,11151.45,31546.25
2588741,2588741,2025,6,139369.76,77128.5,77128.5
2588741,2588741,2025,7,4587.0,0.0,0.0
2588741,2588741,2025,8,19600.0,3650.0,3650.0
2588741,2588741,2025,10,3650.0,0.0,0.0
2024482,2024482,2007,4,92651.84,0.0,92651.84
2520366,2520366,2021,10,10301.89,45500.0,10301.89
2520366,2520366,2021,11,3031.23,40500.0,3031.23
2520366,2520366,2021,12,18888.77,0.0,53985.13
2520366,2520366,2022,4,38773.04,388300.0,48061.04
2520366,2520366,2022,5,122059.27,19000.0,202334.27
2520366,2520366,2022,6,47599.42,359929.25,290699.82
2520366,2520366,2022,7,425001.06,640070.55,445331.31
2520366,2520366,2022,8,140444.38,19000.0,87683.08
2520366,2520366,2022,9,276755.94,211400.0,497804.46
2520366,2520366,2022,10,526847.05,401600.0,329434.93
2520366,2520366,2022,11,121493.5,226410.0,170794.75
2520366,2520366,2022,12,806349.46,586790.0,485984.49
2520366,2520366,2023,2,49084.09,553875.0,61761.1
2520366,2520366,2023,3,137261.29,148348.0,234204.39
2520366,2520366,2023,4,54652.1,11120.0,46786.77
2520366,2520366,2023,5,58537.48,0.0,24757.73
