investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2534079,2534079,2023,1123326.59,1123327,1117515,1123326.59,1123326.59,301141,MUNICIPALIDAD DISTRITAL DE CHICAMA
2534079,2534079,2024,10000.0,10000,10000,10000.0,10000.0,301141,MUNICIPALIDAD DISTRITAL DE CHICAMA
2652079,2652079,2024,5317338.64,5317340,0,5317338.67,5317338.67,1072,MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL
2652079,2652079,2026,0.0,4935699,4935699,4935699.0,0.0,1072,MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL
2131545,2131545,2010,428653.55,488344,0,0.0,428653.55,300985,MUNICIPALIDAD PROVINCIAL DE NAZCA
2131545,2131545,2011,59196.54,61692,0,0.0,59196.54,300985,MUNICIPALIDAD PROVINCIAL DE NAZCA
2709403,2709403,2025,29400.0,29400,0,29400.0,29400.0,301124,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE JARPA
2178873,2178873,2013,36200.0,36200,0,36200.0,36200.0,300926,MUNICIPALIDAD DISTRITAL DE TANTAMAYO
2094159,2094159,2009,34858288.76,38100000,0,0.0,34858288.76,301250,MUNICIPALIDAD METROPOLITANA DE LIMA
2094159,2094159,2010,60884393.97,61993350,14900000,0.0,60884393.97,301250,MUNICIPALIDAD PROVINCIAL DE LIMA
2094159,2094159,2011,1108300.82,1108953,0,0.0,1108300.82,301250,MUNICIPALIDAD PROVINCIAL DE LIMA
2094159,2094159,2012,0.0,241500,0,0.0,0.0,301250,MUNICIPALIDAD PROVINCIAL DE LIMA
2526351,2526351,2021,0.0,857975,0,857975.0,0.0,300230,MUNICIPALIDAD DISTRITAL DE SAMANCO
2526351,2526351,2022,1664769.08,1671367,0,1671366.1,1671366.1,300230,MUNICIPALIDAD DISTRITAL DE SAMANCO
2526351,2526351,2023,12228.61,43172,22300,26577.65,18750.9,300230,MUNICIPALIDAD DISTRITAL DE SAMANCO
2526351,2526351,2024,0.0,15102,21102,0.0,0.0,300230,MUNICIPALIDAD DISTRITAL DE SAMANCO
2526351,2526351,2025,0.0,30942,30942,0.0,0.0,300230,MUNICIPALIDAD DISTRITAL DE SAMANCO
2196720,2196720,2014,553122.23,554661,0,553122.23,553122.23,300153,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR
2196720,2196720,2017,168114.4,168115,0,168114.4,168114.4,300153,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR
2196720,2196720,2018,168114.39,168115,0,168114.39,168114.39,300153,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR
2485439,2485439,2020,0.0,150000,0,150000.0,150000.0,875,REGION MADRE DE DIOS-SEDE CENTRAL
2485439,2485439,2021,157719.99,162899,0,162899.0,162649.57,875,REGION MADRE DE DIOS-SEDE CENTRAL
2116045,2116045,2010,620071.21,2006105,0,0.0,620071.21,300085,MUNICIPALIDAD PROVINCIAL DE HUARAZ
2116045,2116045,2011,1373208.9,1406855,0,0.0,1373208.9,300085,MUNICIPALIDAD PROVINCIAL DE HUARAZ
2116045,2116045,2012,19922.08,33645,0,19922.08,19922.08,300085,MUNICIPALIDAD PROVINCIAL DE HUARAZ
2254725,2254725,2015,39950.0,39950,0,39950.0,39950.0,301052,MUNICIPALIDAD PROVINCIAL DE JAUJA
2254725,2254725,2016,0.0,0,250000,0.0,0.0,301052,MUNICIPALIDAD PROVINCIAL DE JAUJA
2254725,2254725,2017,4200.0,7000,0,7000.0,7000.0,301052,MUNICIPALIDAD PROVINCIAL DE JAUJA
2254725,2254725,2018,0.0,2800,0,0.0,0.0,301052,MUNICIPALIDAD PROVINCIAL DE JAUJA
2254725,2254725,2019,0.0,2800,0,0.0,0.0,301052,MUNICIPALIDAD PROVINCIAL DE JAUJA
2697845,2697845,2025,121454.6,144895,0,133610.6,133610.6,301365,MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE COCACHACRA
2155719,2155719,2012,27800.0,27800,0,27800.0,27800.0,300043,MUNICIPALIDAD PROVINCIAL DE LUYA - LAMUD
2701145,2701145,2025,50746.0,50746,0,50746.0,50746.0,799,REGION HUANCAVELICA-SEDE CENTRAL
2701145,2701145,2026,0.0,1466025,0,1401046.62,0.0,799,REGION HUANCAVELICA-SEDE CENTRAL
2703092,2703092,2025,83482.96,92701,0,91842.0,83482.96,301651,MUNICIPALIDAD DISTRITAL DE TARACO
2703092,2703092,2026,8740.0,8740,0,8740.0,8740.0,301651,MUNICIPALIDAD DISTRITAL DE TARACO
2561909,2561909,2023,0.0,459001,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2199224,2199224,2015,152446.92,294588,294588,185057.65,152446.92,301095,MUNICIPALIDAD DISTRITAL DE PANGOA
2199224,2199224,2016,64183.34,64186,0,64183.34,64183.34,301095,MUNICIPALIDAD DISTRITAL DE PANGOA
2295046,2295046,2017,171613.0,234157,0,171613.0,171613.0,300822,MUNICIPALIDAD DISTRITAL DE CONGALLA
2295046,2295046,2018,33875.0,35117,0,33875.0,33875.0,300822,MUNICIPALIDAD DISTRITAL DE CONGALLA
2023375,2023375,2008,0.0,0,1000000,0.0,0.0,1253,M.E.-PROGRAMA NACIONAL DE INFRAESTRUCTURA  EDUCATIVA
2023375,2023375,2009,4969.89,46671,0,0.0,4969.89,301566,MUNICIPALIDAD PROVINCIAL DE PAITA
2023375,2023375,2010,2250.0,200333,160000,0.0,2250.0,301566,MUNICIPALIDAD PROVINCIAL DE PAITA
2023375,2023375,2011,0.0,94551,0,0.0,0.0,301566,MUNICIPALIDAD PROVINCIAL DE PAITA
2023375,2023375,2012,0.0,56468,0,0.0,0.0,301566,MUNICIPALIDAD PROVINCIAL DE PAITA
2023375,2023375,2013,30201.5,30202,0,30201.5,30201.5,301566,MUNICIPALIDAD PROVINCIAL DE PAITA
2117188,2117188,2010,6500.0,9500,0,0.0,6500.0,300153,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR
2459491,2459491,2019,0.0,5009,0,5008.55,0.0,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
2459491,2459491,2020,5000.0,5000,0,5000.0,5000.0,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
2459491,2459491,2022,66019.33,139702,0,139701.34,66019.33,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
2459491,2459491,2023,63719.87,70215,0,69989.98,68810.0,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
