investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2433564,2433564,345727.64,0,0,345727.63,0.0,201911,202206
2619442,2619442,0.0,0,0,0.0,0.0,,
2660367,2660367,41000.0,0,0,41000.0,0.0,202409,202409
2598839,2598839,4156546.88,0,0,4156546.88,0.0,202310,202505
2504206,2504206,66584.57,0,0,66584.57,0.0,202012,202212
2602332,2602332,2450296.64,0,0,2450108.14,0.0,202310,202512
2594822,2594822,39000.0,0,0,39000.0,0.0,202312,202312
2523347,2523347,321075.17,0,0,321075.17,0.0,202207,202212
2537519,2537519,2006600.0,0,0,2006600.0,0.0,202405,202412
2463306,2463306,6839181.95,4000000,5000000,6825879.41,184640.63,202009,202604
2292161,2292161,46346.91,0,0,46346.91,0.0,201510,201605
2234754,2234754,125227.29,0,0,125199.29,0.0,201309,202105
2131121,2131121,23534498.56,0,0,23534498.56,0.0,201101,202512
2705730,2705730,0.0,26000,0,0.0,0.0,,
2694850,2694850,79170.0,0,0,79170.0,0.0,202507,202508
2534303,2534303,244451.26,0,0,244451.26,0.0,202204,202212
2120785,2120785,516959.66,0,0,516959.66,0.0,201103,201106
2088863,2088863,67506.25,0,0,67506.25,0.0,200902,200907
2657839,2657839,300238.65,0,0,300238.65,0.0,202502,202509
2132774,2132774,56023.4,0,0,56023.4,0.0,201102,201112
2513814,2513814,55544.72,0,0,55544.72,0.0,202409,202412
2459555,2459555,86015.52,0,0,86015.52,0.0,201912,202109
2552669,2552669,37418.2,0,0,37418.2,0.0,202207,202211
2645720,2645720,1285044.59,625800,0,1267885.61,268728.53,202412,202603
2186605,2186605,676612.41,0,0,676612.41,0.0,201311,201412
2483285,2483285,0.0,0,0,0.0,0.0,,
2508568,2508568,720951.16,0,0,720951.16,0.0,202109,202312
2096327,2096327,7599.22,0,0,7599.22,0.0,200910,200912
2333071,2333071,25610.0,0,0,25610.0,0.0,201702,201705
2713712,2713712,42800.0,0,0,42800.0,0.0,202512,202512
2457931,2457931,353650.36,0,0,353650.36,0.0,201911,202110
2502134,2502134,657000.0,0,0,657000.0,0.0,202403,202509
2703429,2703429,118703.38,1139030,0,118703.38,71953.38,202510,202603
2716925,2716925,0.0,43000,0,0.0,0.0,,
2077176,2077176,106075.3,0,0,106075.3,0.0,201110,201112
2190684,2190684,877762.6,0,0,877762.6,0.0,201408,201712
2531249,2531249,5621496.91,0,0,5621496.91,0.0,202204,202410
2185145,2185145,580070.4,0,0,580070.4,0.0,201310,201412
2147126,2147126,1006245.54,0,0,1005035.54,0.0,201112,201212
2569808,2569808,4959893.55,250000,800000,4914852.55,156534.41,202311,202603
2268799,2268799,12881.0,0,0,12881.0,0.0,201707,201707
2708377,2708377,178247.51,0,0,178247.51,0.0,202510,202512
2701241,2701241,40000.0,447650,0,40000.0,40000.0,202603,202603
2205798,2205798,247069.89,0,0,247069.89,0.0,201403,201612
2268151,2268151,72391.72,0,0,57717.0,0.0,201512,201612
2481240,2481240,25000.0,0,0,25000.0,0.0,202007,202007
2624701,2624701,1080960.9,0,0,1080960.9,0.0,202412,202512
2118281,2118281,102399.52,0,0,102399.52,0.0,201012,201012
2036194,2036194,1000.0,0,0,1000.0,0.0,200707,200707
2153326,2153326,482201.26,0,0,482201.26,0.0,201211,202307
2711693,2711693,40000.0,0,0,40000.0,0.0,202512,202512
2214458,2214458,921229.28,0,0,921229.28,0.0,201408,201506
2249341,2249341,352709.16,0,0,352709.16,0.0,201504,201812
2163273,2163273,10800.0,0,0,10800.0,0.0,201212,201212
2692733,2692733,29000.0,263000,0,29000.0,0.0,202511,202511
2026376,2026376,118002.13,0,0,118002.13,0.0,200703,200907
2489117,2489117,254496.73,0,0,254496.73,0.0,202007,202108
2461468,2461468,895072.33,0,0,895072.33,0.0,202108,202205
2691575,2691575,30000.0,30000,0,30000.0,30000.0,202603,202603
2481225,2481225,237500.0,0,0,237500.0,0.0,202003,202012
2568502,2568502,95983.72,0,0,95983.72,0.0,202212,202307
2666520,2666520,42775.0,0,0,42775.0,0.0,202502,202502
2250100,2250100,13934246.58,1720549,0,13920735.87,52888.63,201608,202603
2214502,2214502,210086.83,0,0,210086.83,0.0,201209,201612
2191790,2191790,385957.59,0,0,385957.59,0.0,201407,201411
2099020,2099020,39657.35,0,0,39657.35,0.0,201004,201008
2178939,2178939,114780.84,0,0,114780.84,0.0,201307,201312
