investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,COD_ESPECIFICA,DES_ESPECIFICA
2250100,2250100,2016,44622.4,1188313,0,8220.0,41220.0,2.6.23.7,MONUMENTOS HISTORICOS
2250100,2250100,2016,0.0,209083,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2250100,2250100,2017,0.0,2058084,3541624,0.0,0.0,2.6.23.7,MONUMENTOS HISTORICOS
2250100,2250100,2017,161342.45,230232,0,64372.0,161342.45,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2250100,2250100,2017,0.0,93319,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2250100,2250100,2018,0.0,3913389,0,0.0,0.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2250100,2250100,2018,19311.6,59042,0,24267.6,19311.6,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2250100,2250100,2018,0.0,176592,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2250100,2250100,2021,0.0,1000,200000,0.0,0.0,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2250100,2250100,2023,108947.0,108947,0,108947.0,108947.0,2.4.23.1,A OTRAS UNIDADES DEL GOBIERNO
2250100,2250100,2023,3515891.11,4201157,5197363,3994713.95,3754351.04,2.6.23.2,INFRAESTRUCTURA VIAL
2250100,2250100,2023,63727.48,77688,0,-408376.27,44141.73,2.6.23.7,MONUMENTOS HISTORICOS
2250100,2250100,2023,2900.0,8794,0,2900.0,2900.0,2.6.32.1,PARA OFICINA
2250100,2250100,2023,0.0,34000,0,0.0,0.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2250100,2250100,2024,5386808.3,5803200,0,5351799.99,5671915.91,2.6.23.2,INFRAESTRUCTURA VIAL
2250100,2250100,2024,765571.82,1085051,0,863561.61,787441.4,2.6.23.7,MONUMENTOS HISTORICOS
2250100,2250100,2025,2939201.61,3079252,0,2450045.57,3026521.29,2.6.23.2,INFRAESTRUCTURA VIAL
2250100,2250100,2025,612433.74,635567,0,316365.58,631847.48,2.6.23.7,MONUMENTOS HISTORICOS
2250100,2250100,2025,944.0,944,0,0.0,0.0,2.6.32.1,PARA OFICINA
2250100,2250100,2025,29960.0,29960,0,29960.0,29960.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2250100,2250100,2025,229696.44,291983,0,128703.0,279626.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2250100,2250100,2026,22860.47,990180,0,485445.0,485445.0,2.6.23.2,INFRAESTRUCTURA VIAL
2250100,2250100,2026,30028.16,730369,0,70000.0,70000.0,2.6.23.7,MONUMENTOS HISTORICOS
2214502,2214502,2012,199586.83,203445,0,203444.96,203444.96,2.6.22.2,INSTALACIONES EDUCATIVAS
2214502,2214502,2016,10500.0,10500,0,10500.0,10500.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2191790,2191790,2014,385957.59,385958,0,385957.59,405255.47,2.6.23.3,INFRAESTRUCTURA ELECTRICA
2099020,2099020,2009,0.0,45674,0,0.0,0.0,2.6.23.2,INFRAESTRUCTURA VIAL
2099020,2099020,2010,37157.35,39944,0,0.0,0.0,2.6.23.2,INFRAESTRUCTURA VIAL
2099020,2099020,2010,2500.0,2500,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2178939,2178939,2013,102180.84,162600,0,102180.84,102180.84,2.6.23.3,INFRAESTRUCTURA ELECTRICA
2178939,2178939,2013,7500.0,16500,0,16500.0,7500.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2178939,2178939,2013,5100.0,9000,0,5100.0,5100.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2698600,2698600,2025,104078.8,105000,0,20000.0,36156.5,2.6.22.2,INSTALACIONES EDUCATIVAS
2145926,2145926,2011,102237.84,104238,0,0.0,0.0,2.6.23.5,AGUA Y SANEAMIENTO
2145926,2145926,2011,5000.0,5000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2122687,2122687,2012,208252.85,208273,0,208252.85,208252.85,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2122687,2122687,2013,50052.5,102600,0,94951.0,94951.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2122687,2122687,2014,64307.0,65507,0,65507.0,65507.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2625576,2625576,2023,10000.0,10000,0,10000.0,10000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2520687,2520687,2021,599993.19,599994,0,75167.47,599993.19,2.6.23.2,INFRAESTRUCTURA VIAL
2520687,2520687,2021,35000.0,35000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2520687,2520687,2021,17000.0,17000,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2151301,2151301,2012,398102.0,428000,0,428000.0,428000.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2151301,2151301,2013,29898.0,30000,0,29898.0,29898.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2151301,2151301,2013,10500.0,10500,0,10500.0,10500.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2047238,2047238,2011,1200.0,1201,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2308975,2308975,2016,42555.0,59062,0,42555.0,42555.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2308975,2308975,2017,198285.15,202787,0,202285.15,202285.15,2.6.22.4,INSTALACIONES SOCIALES Y CULTURALES
2308975,2308975,2018,211253.5,216344,0,117141.5,211953.5,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2468430,2468430,2019,136701.8,144930,0,35000.0,136701.8,2.6.22.4,INSTALACIONES SOCIALES Y CULTURALES
2468430,2468430,2019,10000.0,10000,0,10000.0,10000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2468430,2468430,2021,0.0,2205,0,0.0,0.0,2.6.22.4,INSTALACIONES SOCIALES Y CULTURALES
2531198,2531198,2021,0.0,24000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2531198,2531198,2022,24000.0,24000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2197670,2197670,2014,28787.66,45617,0,29789.01,25163.41,2.6.23.2,INFRAESTRUCTURA VIAL
2338256,2338256,2019,102000.0,170000,0,0.0,170000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2562779,2562779,2022,73006.0,73006,0,34727.0,73006.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2562779,2562779,2022,7000.0,7000,0,0.0,7000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2562779,2562779,2022,4350.0,4350,0,4350.0,4350.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2494818,2494818,2021,10000.0,20000,0,20000.0,20000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2494818,2494818,2024,0.0,34673,265693,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2494818,2494818,2025,10000.0,10000,0,10000.0,10000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2076673,2076673,2012,109371.62,109372,0,109371.62,109371.62,2.6.22.2,INSTALACIONES EDUCATIVAS
2076673,2076673,2012,7179.55,7180,0,7179.55,7179.55,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2076673,2076673,2024,518035.61,528608,0,0.0,518035.61,2.6.22.2,INSTALACIONES EDUCATIVAS
2076673,2076673,2024,21900.0,25000,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2076673,2076673,2025,0.0,2500,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2076673,2076673,2026,2500.0,2500,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2438348,2438348,2019,21900.0,22000,0,0.0,0.0,2.6.32.4,"ADQUISICION DE MOBILIARIO, EQUIPOS Y APARATOS MEDICOS"
2287608,2287608,2015,581751.85,581752,0,0.0,581751.85,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2287608,2287608,2015,21435.0,21435,0,0.0,21435.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2287608,2287608,2015,17148.0,17148,0,0.0,17148.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2526438,2526438,2021,34000.0,34000,0,0.0,34000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2526438,2526438,2022,314129.31,315572,0,150427.03,315569.32,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2526438,2526438,2023,1440.0,1440,0,0.0,1440.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2526438,2526438,2024,0.0,43894,500000,0.0,0.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2611786,2611786,2023,24736.64,36212,0,-10800.17,24736.64,2.6.32.1,PARA OFICINA
2611786,2611786,2023,395048.58,627414,0,-30451.14,77285.99,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2611786,2611786,2023,1162.54,1163,0,0.0,0.0,2.6.32.9,ADQUISICION DE MAQUINARIA Y EQUIPO DIVERSOS
2589727,2589727,2023,42000.0,42482,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2589727,2589727,2024,1500.0,1500,0,0.0,0.0,2.6.32.1,PARA OFICINA
2589727,2589727,2024,55368.2,55369,0,37188.83,37958.2,2.6.32.2,PARA INSTALACIONES EDUCATIVAS
2589727,2589727,2024,1880.0,1880,0,0.0,0.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2589727,2589727,2024,274866.16,285867,1000000,221067.96,237986.16,2.6.71.5,FORMACION Y CAPACITACION
